Paper,FirstAuthor,Treatment,Group,Trttype,pcbmatch,Age,VaccStatus,Variant,Risk,treat.lag,MaxDaysSincePos,MaxDaysSinceSymp,Day,VLchange,ValueUnits,RangeSize,RangeType,n.virol,DaysRelTo,numevents,numatrisk,VLbase,AveBaseVL,treatment.type,agent,robhigh
AV01,Hammond et al. (2022),Paxlovid,Paxlovid,AV,Yes,Adult,Unvaccinated,Delta,High,3,3,3,1,0,mean change in VL,,,552,Treatment Start,5,697,,,Small mol,Paxlovid,0
AV01,Hammond et al. (2022),Paxlovid,Paxlovid,AV,Yes,Adult,Unvaccinated,Delta,High,3,3,3,3,-1.86,mean change in VL,0.11,SEM DIFF,552,Treatment Start,5,697,,,Small mol,Paxlovid,0
AV01,Hammond et al. (2022),Paxlovid,Paxlovid,AV,Yes,Adult,Unvaccinated,Delta,High,3,3,3,5,-3.25,mean change in VL,0.1,SEM DIFF,552,Treatment Start,5,697,,,Small mol,Paxlovid,0
AV01,Hammond et al. (2022),Paxlovid,Paxlovid,AV,Yes,Adult,Unvaccinated,Delta,High,3,3,3,10,-4.22,mean change in VL,0.1,SEM DIFF,552,Treatment Start,5,697,,,Small mol,Paxlovid,0
AV01,Hammond et al. (2022),Paxlovid,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,3,3,3,1,0,mean change in VL,,,553,Treatment Start,44,682,,,Small mol,Placebo,0
AV01,Hammond et al. (2022),Paxlovid,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,3,3,3,3,-1.32,mean change in VL,,,553,Treatment Start,44,682,,,Small mol,Placebo,0
AV01,Hammond et al. (2022),Paxlovid,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,3,3,3,5,-2.37,mean change in VL,,,553,Treatment Start,44,682,,,Small mol,Placebo,0
AV01,Hammond et al. (2022),Paxlovid,Placebo,Placebo,,Adult,Unvaccinated,Delta,High,3,3,3,10,-3.76,mean change in VL,,,553,Treatment Start,44,682,,,Small mol,Placebo,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,800mg Molnupiravir,AV,Yes,Adult,Unvaccinated,Delta,High,4,,5,1,0,mean change in VL,,,549,Treatment Start,48,709,6.81,6.81,Small mol,Molnupiravir,0
AV03,Jayk Bernal et al. (2021),Molnupiravir,800mg Molnupiravir,AV,Yes,Adult,Unvaccinated,Delta,High,4,,5,3,-1.08,mean change in VL,0.058,SEM GROUP,549,Treatment Start,48,709,6.81,6.81,Small mol,Molnupiravir,0
